Ticker,Security,GICS Sector,GICS Sub Industry,TickerInfo,CompanyInfo,CompanyWeb,CompanyOverview
CTXS,Citrix Systems,Information Technology,Internet Software & Services,http://www.nasdaq.com/symbol/ctxs    ,https://en.wikipedia.org/wiki/Citrix_Systems                                                        ,https://www.citrix.com/,"Citrix Systems, Inc. offers Enterprise and Service Provider products, which include Workspace Services solutions and Delivery Networking products. The Company's Enterprise and Service Provider products include Cloud Services solutions, and related license updates and maintenance, support and professional services. The Company's NetScaler nCore Technology is an architecture that enables execution of multiple packet engines in parallel. The Company's workspace services include Application Virtualization and virtual desktop infrastructure (VDI), Enterprise Mobility Management and Citrix Workspace Suite. The Company's NetScaler ADC is a software-defined application delivery controller (ADC) and load balancer. The Company's Cloud Services include ShareFile and Citrix Cloud. It provides various ways for customers to receive upgrades, support and maintenance for products, which include Software Maintenance, Subscription Advantage, Technical Support Services and Hardware Maintenance."
CLX,The Clorox Company,Consumer Staples,Household Products,https://www.nyse.com/quote/XNYS:CLX  ,https://en.wikipedia.org/wiki/The_Clorox_Company                                                    ,https://www.thecloroxcompany.com/,"The Clorox Company is a manufacturer and marketer of consumer and professional products. The Company sells its products primarily through mass retail outlets, e-commerce channels, wholesale distributors and medical supply distributors. The Company operates through four segments: Cleaning, Household, Lifestyle and International. Its Cleaning segment consists of laundry, home care and professional products marketed and sold in the United States. Its Household segment consists of charcoal, cat litter and plastic bags, wraps and container products marketed and sold in the United States. Its Lifestyle segment consists of food products, water-filtration systems and filters, and natural personal care products marketed and sold in the United States. Its International segment consists of products sold outside the United States. It markets some of the consumer brand names, such as namesake bleach and cleaning products, Pine-Sol cleaners, Liquid-Plumr clog removers and Kingsford charcoal."
CME,CME Group Inc.,Financials,Financial Exchanges & Data,http://www.nasdaq.com/symbol/cme     ,https://en.wikipedia.org/wiki/CME_Group_Inc.                                                        ,http://www.cmegroup.com,"CME Group Inc., through its exchanges, provides products across all asset classes, including futures and options based on interest rates, equity indexes, foreign exchange, energy, agricultural products and metals. The Company's segment primarily consists of the Chicago Mercantile Exchange Inc. (CME), Board of Trade of the City of Chicago, Inc. (CBOT), New York Mercantile Exchange, Inc. (NYMEX) and Commodity Exchange, Inc. (COMEX) exchanges. The Company provides electronic trading around the globe on its CME Globex platform. The Company also offers clearing and settlement services across asset classes for exchange-traded and over-the-counter derivatives through its clearinghouses CME Clearing and CME Clearing Europe. It also provides hosting, connectivity and customer support for electronic trading through its co-location services. The Company's CME Direct platform offers side-by-side trading of exchange-listed and privately negotiated markets."
CMS,CMS Energy,Utilities,Multi-Utilities,https://www.nyse.com/quote/XNYS:CMS  ,https://en.wikipedia.org/wiki/CMS_Energy                                                            ,http://www.cmsenergy.com/,"CMS Energy Corporation is an energy company operating primarily in Michigan. The Company operates through three segments: electric utility, which consists of regulated activities associated with the generation, transmission and distribution of electricity in Michigan; gas utility, which consists of regulated activities associated with the transportation, storage and distribution of natural gas in Michigan, and enterprises, which consists of various subsidiaries engaging primarily in domestic independent power production. The Company is the parent holding company of various subsidiaries, including Consumers Energy Company (Consumers), an electric and gas utility company, and CMS Enterprises Company (CMS Enterprises), a domestic independent power producer. Consumers serves individuals and businesses operating in the alternative energy, automotive, chemical, metal, and food products industries, as well as a group of other industries."
KO,Coca-Cola Company (The),Consumer Staples,Soft Drinks,https://www.nyse.com/quote/XNYS:COH  ,https://en.wikipedia.org/wiki/Coca-Cola_Company                                                     ,http://www.coca-colacompany.com,"The Coca-Cola Company is a beverage company. The Company owns or licenses and markets non-alcoholic beverage brands, primarily sparkling beverages and a range of still beverages, such as waters, flavored waters and enhanced waters, juices and juice drinks, ready-to-drink teas and coffees, sports drinks, dairy and energy drinks. The Company's segments include Europe, Middle East and Africa; Latin America; North America; Asia Pacific; Bottling Investments, and Corporate. The Company owns and markets a range of non-alcoholic sparkling beverage brands, including Coca-Cola, Diet Coke, Fanta and Sprite. The Company owns or licenses and markets over 500 non-alcoholic beverage brands. The Company markets, manufactures and sells beverage concentrates, which are referred to as beverage bases, and syrups, including fountain syrups, and finished sparkling and still beverages."
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,https://www.nyse.com/quote/XNYS:KO   ,https://en.wikipedia.org/wiki/Cognizant_Technology_Solutions                                        ,http://www.cognizant.com,"Cognizant Technology Solutions Corporation is a professional services company. The Company operates through four segments: Financial Services, Healthcare, Manufacturing/Retail/Logistics, and Other. The Financial Services segment includes customers providing banking/transaction processing, capital markets and insurance services. The Healthcare segment includes healthcare providers and payers, as well as life sciences customers, including pharmaceutical, biotech and medical device companies. The Manufacturing/Retail/Logistics segment includes manufacturers, retailers, travel and other hospitality customers, as well as customers providing logistics services. The Other segment includes its information, media and entertainment services, communications and high technology operating segments. Its services include consulting and technology services and outsourcing services. Its outsourcing services include application maintenance, IT infrastructure services and business process services."
CL,Colgate-Palmolive,Consumer Staples,Household Products,http://www.nasdaq.com/symbol/ctsh    ,https://en.wikipedia.org/wiki/Colgate-Palmolive                                                     ,http://www.colgatepalmolive.com,"Colgate-Palmolive Company (Colgate) is a consumer products company. The Company operates in two product segments: Oral, Personal and Home Care, and Pet Nutrition. The Oral, Personal and Home Care product segment is operated through five geographic segments, which include North America, Latin America, Europe, Asia Pacific and Africa/Eurasia. The Company's oral care products include Colgate Total, Colgate Sensitive Pro-Relief, Colgate Max Fresh and Colgate Optic White. The Company is also engaged in various product categories of the personal care market with operations in liquid hand soap, which it sells under the Palmolive, Protex and Softsoap brands. The Company manufactures and markets a range of products for the home care market, including Palmolive and Ajax dishwashing liquids, Fabuloso and Ajax household cleaners and Murphy's Oil Soap. The Company, through its Hill's Pet Nutrition segment (Hill's), manufactures pet nutrition products for dogs and cats."
CMCSA,Comcast Corp.,Consumer Discretionary,Cable & Satellite,https://www.nyse.com/quote/XNYS:CL   ,https://en.wikipedia.org/wiki/Comcast_Corp.                                                         ,http://corporate.comcast.com/,"Comcast Corporation is a media and technology company. The Company has two primary businesses: Comcast Cable and NBCUniversal. Its Comcast Cable business operates in the Cable Communications segment. Its NBCUniversal business operates in four business segments: Cable Networks, Broadcast Television, Filmed Entertainment and Theme Parks. Its Cable Communications segment consists of the operations of Comcast Cable, which provides video, high-speed Internet and voice services to residential customers under the XFINITY brand. Its Cable Networks segment consists of a portfolio of national cable networks. Its Broadcast Television segment operates the NBC and Telemundo broadcast networks. Its Filmed Entertainment segment primarily produces, acquires, markets and distributes filmed entertainment across the world, and it also develops, produces and licenses live stage plays. Its Theme Parks segment consists primarily of its Universal theme parks in Orlando, Florida and Hollywood, California."
CMA,Comerica Inc.,Financials,Diversified Banks,http://www.nasdaq.com/symbol/cmcsa   ,https://en.wikipedia.org/wiki/Comerica_Inc.                                                         ,https://www.comerica.com/,"Comerica Incorporated is a financial services company. The Company's principal activity is lending to and accepting deposits from businesses and individuals. The Company's segments include the Business Bank, the Retail Bank, Wealth Management, Finance and Other. The Business Bank serves middle market businesses, multinational corporations and governmental entities by offering various products and services, including commercial loans and lines of credit, deposits, cash management, capital market products, international trade finance, letters of credit, foreign exchange management services and loan syndication services. The Retail Bank includes small business banking and personal financial services, consisting of consumer lending, consumer deposit gathering and mortgage loan origination. The Wealth Management segment offers products and services consisting of fiduciary services, private banking, retirement services, investment advisory services, investment banking and brokerage services."
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,https://www.nyse.com/quote/XNYS:CMA  ,https://en.wikipedia.org/wiki/Conagra_Brands                                                        ,http://www.conagrabrands.com/,"Conagra Brands, Inc., formerly ConAgra Foods, Inc., operates as a packaged food company. The Company operates through two segments: Consumer Foods and Commercial Foods. The Company sells branded and customized food products, as well as commercially branded foods. It also supplies vegetable, spice and grain products to a range of restaurants, foodservice operators and commercial customers. Conagra Foodservice offers products to restaurants, retailers, commercial customers and other foodservice suppliers. The Company also operates in the countries outside the United States, such as Canada and Mexico. The Company's brands include Marie Callender's, Healthy Choice, Slim Jim, Hebrew National, Orville Redenbacher's, Peter Pan, Reddi-wip, PAM, Snack Pack, Banquet, Chef Boyardee, Egg Beaters, Rosarita, Fleischmann's and Hunt's. The Company sells its products in grocery, convenience, mass merchandise and club stores."
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,https://www.nyse.com/quote/XNYS:CAG  ,https://en.wikipedia.org/wiki/Concho_Resources                                                      ,http://www.conchoresources.com,"Concho Resources Inc. is an independent oil and natural gas company engaged in the acquisition, development and exploration of oil and natural gas properties. The Company's four operating areas include the Northern Delaware Basin, the Southern Delaware Basin, the Midland Basin and the New Mexico Shelf. As of December 31, 2016, the Company's operations were focused in the Permian Basin, which underlies an area of Southeast New Mexico and West Texas approximately 250 miles wide and 300 miles long. The Permian Basin is an oil and natural gas producing region in the United States and is characterized by multiple producing horizons and enhanced recovery potential. As of December 31, 2016, the Company produced approximately 55.1 million barrels of oil equivalent (MMBoe) of oil and natural gas. As of December 31, 2016, all of its 720 MMBoe total estimated proved reserves were located in its core operating areas and consisted of approximately 59.5% oil and 40.5% natural gas."
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,https://www.nyse.com/quote/XNYS:CXO  ,https://en.wikipedia.org/wiki/ConocoPhillips                                                        ,http://www.conocophillips.com/,"ConocoPhillips is an independent exploration and production company. The Company explores for, produces, transports and markets crude oil, bitumen, natural gas, liquefied natural gas (LNG) and natural gas liquids. The Company operates through five segments: Alaska, Lower 48, Canada, Europe and North Africa, Asia Pacific and Middle East, and Other International. The Alaska segment explores for, produces, transports and markets crude oil, natural gas liquids, natural gas and LNG. The Lower 48 segment consists of operations located in the United States Lower 48 states and the Gulf of Mexico. Its Canadian operations consists of oil sands developments in the Athabasca Region of northeastern Alberta. The Europe and North Africa segment consists of operations and exploration activities in Norway, the United Kingdom and Libya. The Asia Pacific and Middle East segment has exploration and production operations in China, Indonesia, Malaysia and Australia."
ED,Consolidated Edison,Utilities,Electric Utilities,https://www.nyse.com/quote/XNYS:COP  ,https://en.wikipedia.org/wiki/Consolidated_Edison                                                   ,http://www.coned.com/,"Consolidated Edison, Inc. (Con Edison) is a holding company. The Company operates through its subsidiaries, which include Consolidated Edison Company of New York, Inc. (CECONY), Orange and Rockland Utilities, Inc. (O&R), Con Edison Clean Energy Businesses, Inc. (the Clean Energy Businesses) and Con Edison Transmission, Inc. (Con Edison Transmission). CECONY's principal business operations are its regulated electric, gas and steam delivery businesses. CECONY provides electricity, natural gas and steam to customers in New York City and Westchester County. O&R's principal business operations are its regulated electric and gas delivery businesses. The Clean Energy Businesses develop, own and operate renewable and energy infrastructure projects and provide energy-related products and services to wholesale and retail customers. Con Edison Transmission, through its subsidiaries, invests in electric transmission facilities and gas pipeline and storage facilities."
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,https://www.nyse.com/quote/XNYS:ED   ,https://en.wikipedia.org/wiki/Constellation_Brands                                                  ,http://www.cbrands.com,"Constellation Brands, Inc. is an international beverage alcohol company. The Company is a producer and marketer of beer, wine and spirits with operations in the United States, Canada, Mexico, New Zealand and Italy. Its segments include Beer, Wine and Spirits, and Corporate Operations and Other. It is a multi-category supplier (beer, wine and spirits) of beverage alcohol in the United States. It sells a number of brands in the import and craft beer categories, including Corona Extra, Corona Light, Modelo Especial, Ballast Point and others. It is a producer and marketer of wine, and sells a number of wine brands across various categories, including table wine, sparkling wine and dessert wine, and across all price points, such as popular, premium and luxury categories. Some of its wine and spirits brands sold in the United States, which comprise its U.S. Focus Brands (Focus Brands) include Meiomi, Robert Mondavi, Wild Horse and others."
COO,The Cooper Companies,Health Care,Health Care Supplies,https://www.nyse.com/quote/XNYS:STZ  ,https://en.wikipedia.org/wiki/The_Cooper_Companies                                                  ,http://www.coopercos.com/,"The Cooper Companies, Inc. is a global medical device company. The Company operates through two business units: CooperVision, Inc. and CooperSurgical, Inc. CooperVision offers soft contact lenses for the vision correction market. CooperVision develops, manufactures and markets a range of single-use, two-week and monthly contact lenses. CooperVision services three primary regions: the Americas; Europe, the Middle East and Africa (EMEA), and Asia Pacific. CooperVision offers spherical, aspherical, toric, multifocal and toric multifocal lens products in various modalities. CooperVision's products are primarily manufactured at its facilities located in the United Kingdom, Puerto Rico, Hungary, Costa Rica and New York. CooperSurgical offers an array of products and services focused on advancing the health of families through a portfolio of products and services focusing on women's health, fertility and diagnostics."
GLW,Corning Inc.,Information Technology,Electronic Components,https://www.nyse.com/quote/XNYS:COO  ,https://en.wikipedia.org/wiki/Corning_Inc.                                                          ,https://www.corning.com/,"Corning Incorporated is engaged in manufacturing specialty glass and ceramics. Its segments include Display Technologies, Optical Communications, Environmental Technologies, Specialty Materials, Life Sciences and All Other. The Display Technologies segment manufactures glass substrates for flat panel liquid crystal displays (LCDs). The Optical Communications segment manufactures carrier and enterprise network components for the telecommunications industry. The Environmental Technologies segment manufactures ceramic substrates and filters for automotive and diesel emission control applications. As of December 31, 2016, the Specialty Materials segment manufactured products, which provided more than 150 material formulations for glass, glass ceramics and fluoride crystals. The Life Sciences segment manufactures glass and plastic labware, equipment, media and reagents. The All Other segment consists of its Pharmaceutical Technologies business and non-LCD glass business, and among others."
COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,https://www.nyse.com/quote/XNYS:GLW  ,https://en.wikipedia.org/wiki/Costco_Wholesale_Corp.                                                ,http://www.costco.com,"Costco Wholesale Corporation is engaged in the operation of membership warehouses in the United States and Puerto Rico, Canada, the United Kingdom, Mexico, Japan, Australia, Spain, and through its subsidiaries in Taiwan and Korea. As of August 28, 2016, the Company operated 715 warehouses across the world. The Company's average warehouse space is approximately 144,000 square feet. The Company's warehouses on average operate on a seven-day, 70-hour week. The Company offers merchandise in various categories, which include foods (including dry foods, packaged foods and groceries); sundries (including snack foods, candy, alcoholic and nonalcoholic beverages, and cleaning supplies); hardlines (including appliances, electronics, health and beauty aids, hardware, and garden and patio); fresh foods (including meat, produce, deli and bakery); softlines (including apparel and small appliances), and other (including gas stations and pharmacy)."
COTY,"Coty, Inc",Consumer Staples,Personal Products,http://www.nasdaq.com/symbol/cost    ,"https://en.wikipedia.org/wiki/Coty,_Inc                                                             ",https://www.coty.com/,"Coty Inc. is a beauty company. The Company operates through four segments: Fragrances, Color Cosmetics, Skin & Body Care and Brazil Acquisition. Its fragrance products include a range of men's and women's products. Its fragrance brands include Calvin Klein, Marc Jacobs, Davidoff, Chloe, Balenciaga, Beyonce, Bottega Veneta, Miu Miu and Roberto Cavalli. Its color cosmetics products include lip, eye, nail and facial color products. The brands in its Color Cosmetics segment include Bourjois, Rimmel, Sally Hansen and OPI. Its skin & body care products include shower gels, deodorants, skin care and sun treatment products. Its skin & body care brands are adidas, Lancaster, philosophy and Playboy. The Company, through Hypermarcas S.A., engages in personal care and beauty business. The Brazil Acquisition segment includes product groupings, such as skin care, nail care, deodorants and hair care products. It operates in the Americas; Europe, the Middle East and Africa (EMEA), and Asia Pacific."
CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,https://www.nyse.com/quote/XNYS:COTY ,https://en.wikipedia.org/wiki/Crown_Castle_International_Corp.                                      ,http://www.crowncastle.com/,"Crown Castle International Corp. is a real estate investment trust, which owns, operates and leases shared wireless infrastructure that is geographically dispersed throughout the United States and Puerto Rico. The Company's segments include towers and small cells. As of December 31, 2016, it had approximately 40,000 towers and other structures, such as rooftops (collectively towers) and approximately 26,500 route miles of fiber (collectively small cells, and together with towers, wireless infrastructure). The towers segment provides access, including space or capacity to its towers, which are geographically dispersed throughout the United States. The towers segment also reflects certain network services relating to its towers. As of December 31, 2016, the small cells segment provided access, including space or capacity, to the Company's approximately 17,000 route miles of fiber primarily supporting small cell networks. The small cells segment also offers fiber-based solutions."
CSX,CSX Corp.,Industrials,Railroads,https://www.nyse.com/quote/XNYS:CCI  ,https://en.wikipedia.org/wiki/CSX_Corp.                                                             ,http://www.csx.com,"CSX Corporation is a transportation company. The Company provides rail-based freight transportation services, including traditional rail service and transport of intermodal containers and trailers, as well as other transportation services, such as rail-to-truck transfers and bulk commodity operations. The Company categorizes its products into three primary lines of business: merchandise, intermodal and coal. The Company's intermodal business links customers to railroads through trucks and terminals. The Company's merchandise business consists of shipments in markets, such as agricultural and food products, fertilizers, chemicals, automotive, metals and equipment, minerals and forest products. The Company's coal business transports domestic coal, coke and iron ore to electricity-generating power plants, steel manufacturers and industrial plants, as well as export coal to deep-water port facilities."
CMI,Cummins Inc.,Industrials,Industrial Machinery,https://www.nyse.com/quote/XNYS:CSRA ,https://en.wikipedia.org/wiki/Cummins_Inc.                                                          ,http://www.cummins.com,"Cummins Inc. designs, manufactures, distributes and services diesel and natural gas engines and engine-related component products. The Company's segments include Engine, Distribution, Components and Power Systems. The Engine segment manufactures and markets a range of diesel and natural gas powered engines under the Cummins brand name, as well as certain customer brand names, for the heavy and medium-duty truck, bus, recreational vehicle (RV), light-duty automotive and agricultural markets. The Distribution segment consists of the product lines, which service and/or distribute a range of products and services, including parts, engines, power generation and service. The Components segment supplies products, including aftertreatment systems, turbochargers, filtration products and fuel systems for commercial diesel applications. The Power Systems segment consists of businesses, including Power generation, Industrial and Generator technologies."
CVS,CVS Health,Consumer Staples,Drug Retail,http://www.nasdaq.com/symbol/csx     ,https://en.wikipedia.org/wiki/CVS_Health                                                            ,https://www.cvshealth.com/,"CVS Health Corporation, together with its subsidiaries, is an integrated pharmacy healthcare company. The Company provides pharmacy care for the senior community through Omnicare, Inc. (Omnicare) and Omnicare's long-term care (LTC) operations, which include distribution of pharmaceuticals, related pharmacy consulting and other ancillary services to chronic care facilities and other care settings. It operates through three segments: Pharmacy Services, Retail/LTC and Corporate. The Pharmacy Services Segment provides a range of pharmacy benefit management (PBM) solutions to its clients. As of December 31, 2016, the Retail/LTC Segment included 9,709 retail locations (of which 7,980 were its stores that operated a pharmacy and 1,674 were its pharmacies located within Target Corporation (Target) stores), its online retail pharmacy Websites, CVS.com, Navarro.com and Onofre.com.br, 38 onsite pharmacy stores, its long-term care pharmacy operations and its retail healthcare clinics."
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,https://www.nyse.com/quote/XNYS:CMI  ,https://en.wikipedia.org/wiki/D._R._Horton                                                          ,http://www.drhorton.com,"D.R. Horton, Inc. is a homebuilding company. The Company constructed and sold homes in 27 states and 79 markets, as of September 30, 2015. The Company's segments include its 39 homebuilding divisions, its financial services operations and its other business activities. In the homebuilding segment, the Company builds and sells single-family detached homes and attached homes, such as town homes, duplexes, triplexes and condominiums. The Company's 39 homebuilding divisions are aggregated into six segments: East Region, South Central Region, Midwest Region, West Region, Southwest Region and Southeast Region. In the financial services segment, the Company sells mortgages and collects fees for title insurance agency and closing services. The Company has subsidiaries that conduct insurance-related operations; construct and own income-producing rental properties; own non-residential real estate, including ranch land and improvements, and own and operate oil and gas-related assets."
DHR,Danaher Corp.,Health Care,Health Care Equipment,https://www.nyse.com/quote/XNYS:CVS  ,https://en.wikipedia.org/wiki/Danaher_Corp.                                                         ,http://www.danaher.com/,"Danaher Corporation (Danaher) designs, manufactures and markets professional, medical, industrial and commercial products and services. The Company operates through four segments: Life Sciences, which offers a range of research tools that scientists use to study the basic building blocks of life, including genes, proteins, metabolites and cells, in order to understand the causes of disease, identify new therapies and test new drugs and vaccines; Diagnostics; which offers analytical instruments, reagents, consumables, software and services; Dental, which provides products that are used to diagnose, treat and prevent disease and ailments of the teeth, gums and supporting bone, and Environmental & Applied Solutions, which consists of various lines of business, including water quality and product identification. As of December 31, 2016, Danaher's research and development, manufacturing, sales, distribution, service and administrative facilities were located in over 60 countries."
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,https://www.nyse.com/quote/XNYS:DHI  ,https://en.wikipedia.org/wiki/Darden_Restaurants                                                    ,https://www.darden.com/,"Darden Restaurants, Inc. is a full-service restaurant company. The Company owned and operated 1,536 restaurants through its subsidiaries in the United States and Canada, as of May 29, 2016. The Company's segments include Olive Garden, LongHorn Steakhouse, Fine Dining (which includes The Capital Grille, and Eddie V's Prime Seafood and Wildfish Seafood Grille (Eddie V's)) and Other Business (which includes Yard House, Seasons 52, Bahama Breeze, consumer-packaged goods and franchise revenues). As of May 29, 2016, the Company also had 50 restaurants operated by independent third parties pursuant to area development and franchise agreements. Olive Garden's menu includes a range of authentic Italian foods featuring fresh ingredients and a selection of imported Italian wines. LongHorn Steakhouse restaurants feature a range of menu items, including fresh steaks and chicken, as well as salmon, shrimp, ribs, pork chops, burgers and prime rib."
DVA,DaVita Inc.,Health Care,Health Care Facilities,https://www.nyse.com/quote/XNYS:DHR  ,https://en.wikipedia.org/wiki/DaVita                                                                ,https://www.davita.com/,"DaVita Inc., formerly DaVita HealthCare Partners Inc., operates two divisions: DaVita Kidney Care (Kidney Care) and DaVita Medical Group (DMG). The Kidney Care division consists of its the United States dialysis and related lab services, its ancillary services and strategic initiatives, including its international operations, and its corporate administrative support. Its DMG division is a patient- and physician-focused integrated healthcare delivery and management company that provides medical services to members through capitation contracts. Its segments include U.S. dialysis and related lab services, DMG, and Other-Ancillary services and strategic initiatives. Its U.S. dialysis and related lab services line of business provide kidney dialysis services in the United States for patients suffering from chronic kidney failure, also known as end stage renal disease (ESRD). As of December 31, 2016, it had operated or provided administrative services to 154 outpatient dialysis centers."
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,https://www.nyse.com/quote/XNYS:DRI  ,https://en.wikipedia.org/wiki/Deere_%26_Co.                                                         ,http://www.deere.com,"Deere & Company is engaged in equipment operations. The Company is engaged in providing financial services. The Company operates through three business segments: agriculture and turf, construction and forestry, and financial services. The agriculture and turf segment manufactures and distributes a line of agriculture and turf equipment and related service parts. The construction and forestry segment provides a line of construction equipment, and forestry machines and attachments available in the world. The construction and forestry segment is also engaged in providing fleet management telematics solutions. The financial services segment primarily finances sales and leases by the Company dealers of new and used agriculture and turf equipment and construction and forestry equipment. The financial services segment also provides wholesale financing to dealers of the foregoing equipment, finances retail revolving charge accounts and offers extended equipment warranties."
DAL,Delta Air Lines Inc.,Industrials,Airlines,https://www.nyse.com/quote/XNYS:DVA  ,https://en.wikipedia.org/wiki/Delta_Air_Lines                                                       ,https://www.delta.com/,"Delta Air Lines, Inc. provides scheduled air transportation for passengers and cargo throughout the United States and across the world. The Company's segments include Airline and Refinery. The Company's route network is centered around a system of hub, international gateway and airports that the Company operates in Amsterdam, Atlanta, Boston, Detroit, London-Heathrow, Los Angeles, Minneapolis-St. Paul, New York-LaGuardia, New York- John F Kennedy International Airport, Paris-Charles de Gaulle, Salt Lake City, Seattle and Tokyo-Narita. Each of these operations includes flights that gather and distribute traffic from markets in the geographic region surrounding the hub or gateway to domestic and international cities and to other hubs or gateways. The Company's route network includes its international joint ventures, its alliances with other foreign airlines, its membership in SkyTeam and agreements with multiple domestic regional carriers that operate as Delta Connection."
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,https://www.nyse.com/quote/XNYS:DE   ,https://en.wikipedia.org/wiki/Dentsply_Sirona                                                       ,http://www.dentsplysirona.com/,"DENTSPLY SIRONA Inc. is a manufacturer of professional dental products and technologies. The Company develops, manufactures, and markets solutions offering, including dental and oral health products, as well as other consumable medical devices. It operates through two segments: Dental and Healthcare Consumables, and Technologies. The dental industry encompasses the diagnosis, treatment and prevention of disease and ailments of the teeth, gums and supporting bone. Its principal dental product categories are dental consumable products, dental laboratory products, dental specialty products and dental equipment. Additionally, its consumable medical device products are used for urological and surgical applications. These products are produced by the Company in the United States and internationally and are distributed throughout the world under various brand names, including ANKYLOS, AQUASIL ULTRA, ARTICADENT, ATLANTIS, CALIBRA, CAULK, CAVITRON, CELTRA, DELTON, DENTSPLY, DETREY and DYRACT."
DVN,Devon Energy Corp.,Energy,Oil & Gas Exploration & Production,https://www.nyse.com/quote/XNYS:DLPH ,https://en.wikipedia.org/wiki/Devon_Energy                                                          ,http://www.devonenergy.com,"Devon Energy Corporation is an independent energy company. The Company also controls EnLink Midstream Partners, L.P. (EnLink). The Company's segments include U.S., Canada and EnLink. The Company is engaged primarily in the exploration, development and production of oil, natural gas and natural gas liquids (NGLs). The Company's operations are concentrated in various North American onshore areas in the United States and Canada. The Company's U.S. and Canada segments are primarily engaged in oil and gas exploration and production activities. EnLink is a master limited partnership (MLP) with a midstream business and operations located across the United States. EnLink focuses on providing gathering, transmission, processing, storage, fractionation and marketing to upstream oil and natural gas producers. The Company's properties include Barnett Shale, Delaware Basin, Eagle Ford, Heavy Oil, Rockies Oil and STACK."
DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,https://www.nyse.com/quote/XNYS:DAL  ,https://en.wikipedia.org/wiki/Digital_Realty                                                        ,http://www.digitalrealty.com,"Digital Realty Trust, Inc. is a real estate investment trust (REIT). The Company is engaged in the business of owning, acquiring, developing and operating data centers. The Company is focused on providing data center and colocation solutions for domestic and international tenants across a range of industry verticals ranging from financial services, cloud and information technology services, to manufacturing, energy, healthcare and consumer products. As of December 31, 2016, its portfolio consisted of 145 operating properties, including 14 properties held as investments in unconsolidated joint ventures, of which 104 are located throughout the United States, 32 are located in Europe, four are located in Asia, three are located in Australia and two are located in Canada. It is a general partner of Digital Realty Trust, L.P. As of December 31, 2016, it owned an approximate 98.5% common general partnership interest in Digital Realty Trust, L.P."
DFS,Discover Financial Services,Financials,Consumer Finance,http://www.nasdaq.com/symbol/xray    ,https://en.wikipedia.org/wiki/Discover_Financial_Services                                           ,https://www.discover.com/,"Discover Financial Services (DFS) is a direct banking and payment services company. The Company is a bank holding company, as well as a financial holding company. The Company operates through two segments: Direct Banking and Payment Services. It provides direct banking products and services, and payment services through its subsidiaries. It offers its customers credit card loans, private student loans, personal loans, home equity loans and deposit products. The Company's Direct Banking segment includes consumer banking and lending products, specifically Discover-branded credit cards issued to individuals and small businesses on the Discover Network and other consumer banking products and services. The Company's direct banking offers credit cards, student loans, personal loans, home equity loans, and other consumer lending and deposit products. The Payment Services segment includes PULSE, Diners Club and the Company's Network Partners business."
DISCA,Discovery Communications-A,Consumer Discretionary,Cable & Satellite,https://www.nyse.com/quote/XNYS:DVN  ,https://en.wikipedia.org/wiki/Discovery_Communications                                              ,http://www.discoverycommunications.com,"Discovery Communications, Inc. (Discovery) is a global media company. The Company provides content across multiple distribution platforms, including pay-television (pay-TV), free-to-air (FTA) and broadcast television, Websites, digital distribution arrangements and content licensing agreements. Its segments include U.S. Networks, which consists principally of domestic television networks and digital content services; International Networks, consisting primarily of international television networks and digital content services, and Education and Other, which consists principally of curriculum-based product and service offerings, and production studios. The Company's portfolio of networks includes television brands, such as Discovery Channel, Animal Planet, ID, Velocity (known as Turbo outside of the United States) and Eurosport. It is also engaged in extending content distribution across various platforms, including brand-aligned Websites, Web-native networks and online streaming."
DISCK,Discovery Communications-C,Consumer Discretionary,Cable & Satellite,https://www.nyse.com/quote/XNYS:DLR  ,https://en.wikipedia.org/wiki/Discovery_Communications                                              ,http://www.discoverycommunications.com,"Discovery Communications, Inc. (Discovery) is a global media company. The Company provides content across multiple distribution platforms, including pay-television (pay-TV), free-to-air (FTA) and broadcast television, Websites, digital distribution arrangements and content licensing agreements. Its segments include U.S. Networks, which consists principally of domestic television networks and digital content services; International Networks, consisting primarily of international television networks and digital content services, and Education and Other, which consists principally of curriculum-based product and service offerings, and production studios. The Company's portfolio of networks includes television brands, such as Discovery Channel, Animal Planet, ID, Velocity (known as Turbo outside of the United States) and Eurosport. It is also engaged in extending content distribution across various platforms, including brand-aligned Websites, Web-native networks and online streaming."
